batter_mlb_player_id,batter_name_last_first,year,total_pa,total_hr,hr_last_year,hr_two_years_ago,hr_three_years_ago,batting_avg_last_year,batting_avg_two_years_ago,batting_avg_three_years_ago,slg_last_year,slg_two_years_ago,slg_three_years_ago,obp_last_year,obp_two_years_ago,obp_three_years_ago,max_ev_last_year,max_ev_two_years_ago,max_ev_three_years_ago,avg_ev_last_year,avg_ev_two_years_ago,avg_ev_three_years_ago,avg_la_last_year,avg_la_two_years_ago,avg_la_three_years_ago,strikeout_rate_last_year,strikeout_rate_two_years_ago,strikeout_rate_three_years_ago,walk_rate_last_year,walk_rate_two_years_ago,walk_rate_three_years_ago
596019,"Lindor, Francisco",2024,689,33,31,26,20,0.22335766423357664,0.24147727272727273,0.2,0.4131386861313869,0.40198863636363635,0.3576923076923077,0.3343065693430657,0.3366477272727273,0.31346153846153846,112.4385757446289,110.6827163696289,112.91077423095703,91.24891976986902,89.21348762133013,89.1448084312481,19.198604658332858,13.709216155489504,12.981360410030542,0.2,0.18892045454545456,0.18461538461538463,0.09343065693430656,0.08096590909090909,0.10384615384615385
665742,"Soto, Juan",2024,709,41,35,27,29,0.22413793103448276,0.1933028919330289,0.24881141045958796,0.4238505747126437,0.3607305936073059,0.4247226624405705,0.40086206896551724,0.395738203957382,0.44532488114104596,115.26738739013672,113.19398498535156,116.57514190673828,92.68618957846014,90.88448030703536,92.95353077110309,6.341234769286202,8.934364898983285,5.772694476706497,0.1839080459770115,0.1461187214611872,0.1473851030110935,0.17385057471264367,0.1963470319634703,0.19334389857369255
571745,"Haniger, Mitch",2024,422,12,6,11,39,0.19213973799126638,0.22357723577235772,0.22786647314949202,0.33624454148471616,0.3902439024390244,0.43686502177068215,0.2663755458515284,0.3048780487804878,0.3164005805515239,108.36927032470703,111.0457992553711,109.9520263671875,91.04107450627956,91.89609134271278,89.2635884420025,15.893777218653637,18.21832847235412,14.843324976760188,0.2838427947598253,0.26422764227642276,0.24528301886792453,0.06550218340611354,0.07723577235772358,0.07547169811320754
657557,"DeJong, Paul",2024,482,24,14,6,19,0.19298245614035087,0.13924050632911392,0.17412935323383086,0.3308270676691729,0.25316455696202533,0.34577114427860695,0.2581453634085213,0.24472573839662448,0.2835820895522388,107.57781219482422,110.29684448242188,109.46190643310547,85.5399692369544,87.57194983690304,86.33168874254413,16.824481717270352,21.676371606556994,16.388989496640132,0.3007518796992481,0.3333333333333333,0.2562189054726368,0.05263157894736842,0.08860759493670886,0.08706467661691543
592669,"Renfroe, Hunter",2024,424,15,20,29,31,0.2116788321167883,0.23224568138195778,0.23601398601398602,0.3777372262773723,0.4472168905950096,0.4562937062937063,0.29744525547445255,0.31285988483685223,0.3146853146853147,113.18580627441406,112.46248626708984,116.41386413574219,88.2578546048489,90.04380220807464,90.08308166561088,15.027486945804577,17.427829192888886,15.422241582337936,0.2281021897810219,0.23224568138195778,0.22727272727272727,0.08029197080291971,0.07293666026871401,0.07692307692307693
592696,"Rosario, Eddie",2024,319,10,21,5,14,0.23735408560311283,0.1970260223048327,0.23786407766990292,0.4182879377431907,0.3048327137546468,0.40048543689320387,0.3035019455252918,0.26022304832713755,0.30339805825242716,110.3510971069336,107.26725769042969,108.44811248779297,88.32508362900248,87.18465852737427,87.98126025229507,14.178636195931926,14.505064830912843,14.911571269264872,0.23540856031128404,0.24907063197026022,0.14805825242718446,0.06420233463035019,0.06319702602230483,0.06310679611650485
673490,"Kim, Ha-Seong",2024,465,11,17,11,8,0.22435897435897437,0.22336769759450173,0.18181818181818182,0.34294871794871795,0.3402061855670103,0.3164983164983165,0.34615384615384615,0.3230240549828179,0.265993265993266,108.50343322753906,109.36550903320312,112.34273529052734,85.27344426815674,86.1066242204426,85.83878164149043,13.581218023126148,15.590639598067337,13.257674719883472,0.1987179487179487,0.1718213058419244,0.23905723905723905,0.11698717948717949,0.08762886597938144,0.0707070707070707
664913,"Brown, Seth",2024,400,14,14,25,20,0.20212765957446807,0.20833333333333334,0.19672131147540983,0.3696808510638298,0.40217391304347827,0.4426229508196721,0.2845744680851064,0.3007246376811594,0.26885245901639343,113.32847595214844,112.87897491455078,113.7376708984375,90.17729949561917,89.04324460433702,88.86757842781617,16.591210744940504,15.550807835665386,20.91676259494012,0.26595744680851063,0.2644927536231884,0.29180327868852457,0.07712765957446809,0.08695652173913043,0.06885245901639345
543257,"Grossman, Robbie",2024,245,3,10,7,23,0.20095693779904306,0.18029350104821804,0.19910179640718562,0.33253588516746413,0.26834381551362685,0.3458083832335329,0.34210526315789475,0.31027253668763105,0.3532934131736527,109.0334243774414,105.82579040527344,110.92345428466797,88.20426679836027,86.47284640465583,87.32971967138896,20.24112783584871,21.027532324872233,20.49616907057239,0.22966507177033493,0.27044025157232704,0.23203592814371257,0.13636363636363635,0.11740041928721175,0.14221556886227546
608070,"Ramirez, Jose",2024,669,39,24,29,36,0.25748502994011974,0.25263157894736843,0.23482428115015974,0.4341317365269461,0.46466165413533833,0.4744408945686901,0.33532934131736525,0.33533834586466166,0.3450479233226837,111.58951568603516,114.24223327636719,112.57276153564453,89.98651209999534,87.6709065880676,89.8381397729257,17.995886350913413,20.720364146199163,18.1533310939847,0.10778443113772455,0.12330827067669173,0.1389776357827476,0.07634730538922156,0.07368421052631578,0.09904153354632587
